City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Qaanaaq,GL,2021-09-09 18:28:08,77.484,-69.3632,24.93,71,71,6.53
67,Punta Arenas,CL,2021-09-09 18:28:08,-53.15,-70.9167,51.91,35,0,24.16
68,Atar,MR,2021-09-09 18:28:09,20.5169,-13.0499,110.75,6,47,19.33
69,Florianopolis,BR,2021-09-09 18:28:09,-27.6146,-48.5012,80.26,68,20,16.11
70,Panormos,GR,2021-09-09 18:28:09,35.4182,24.6909,75.06,76,33,6.8
71,Luanda,AO,2021-09-09 18:24:57,-8.8368,13.2343,73.4,88,20,10.36
72,Uncia,BO,2021-09-09 18:28:10,-18.467,-66.5685,61.09,30,44,14.16
73,Yashkul,RU,2021-09-09 18:28:10,46.1711,45.3435,65.88,28,0,6.58
74,Nizhniy Chir,RU,2021-09-09 18:28:10,48.3597,43.0865,63.03,43,34,8.7
75,Sisimiut,GL,2021-09-09 18:28:11,66.9395,-53.6735,38.12,58,30,12.93
76,Tasiilaq,GL,2021-09-09 18:28:11,65.6145,-37.6368,50.16,50,2,12.8
77,Mecca,SA,2021-09-09 18:28:11,21.4267,39.8261,91.53,55,90,1.32
78,Kogon,UZ,2021-09-09 18:28:12,39.7228,64.5517,71.24,18,0,13.8
79,La Ceiba,HN,2021-09-09 18:28:12,15.7597,-86.7822,89.15,79,75,5.75
80,Boa Vista,BR,2021-09-09 18:28:12,2.8197,-60.6733,93.18,46,75,10.36
81,Mahebourg,MU,2021-09-09 18:28:12,-20.4081,57.7,71.26,88,40,3.44
82,Pisco,PE,2021-09-09 18:25:13,-13.7,-76.2167,66.02,77,0,10.36
83,Malyye Derbety,RU,2021-09-09 18:28:13,47.9547,44.6808,64.51,32,27,6.46
84,Belmonte,BR,2021-09-09 18:28:13,-15.8631,-38.8828,84.7,61,39,11.05
85,Elizabeth City,US,2021-09-09 18:28:13,36.2946,-76.2511,80.65,92,90,4.0
86,Zhmerynka,UA,2021-09-09 18:28:14,49.037,28.112,57.22,43,11,5.23
87,Natal,BR,2021-09-09 18:28:14,-5.795,-35.2094,84.85,58,40,17.27
88,Thunder Bay,CA,2021-09-09 18:26:09,48.4001,-89.3168,69.57,58,40,8.05
89,Korla,CN,2021-09-09 18:28:14,41.7597,86.1469,79.83,19,0,2.3
90,Kavaratti,IN,2021-09-09 18:28:14,10.5669,72.642,82.0,80,72,12.26
91,Sur,OM,2021-09-09 18:28:15,22.5667,59.5289,85.33,68,97,12.82
92,Talcahuano,CL,2021-09-09 18:28:15,-36.7167,-73.1167,62.28,59,0,8.05
93,Kristiansund,NO,2021-09-09 18:28:15,63.1115,7.732,59.05,82,75,8.05
94,Rio Branco Do Sul,BR,2021-09-09 18:28:15,-25.19,-49.3142,74.82,73,100,4.94
95,Yarkovo,RU,2021-09-09 18:28:16,57.4028,67.0786,51.26,73,93,8.41
96,Nanortalik,GL,2021-09-09 18:28:16,60.1432,-45.2371,44.8,92,100,11.7
97,Ahtopol,BG,2021-09-09 18:28:16,42.1,27.95,68.47,72,91,14.79
98,Alta Floresta,BR,2021-09-09 18:28:17,-9.8756,-56.0861,93.02,49,40,5.75
99,Benghazi,LY,2021-09-09 18:28:17,32.1167,20.0667,78.31,55,0,9.66
100,Cabras,IT,2021-09-09 18:28:17,39.93,8.5314,73.9,57,66,9.48
101,Sioux Lookout,CA,2021-09-09 18:28:18,50.1001,-91.917,61.18,82,75,9.22
102,Sturgeon Falls,CA,2021-09-09 18:28:18,46.3646,-79.9326,64.89,66,94,9.01
103,Englehart,CA,2021-09-09 18:28:18,47.8169,-79.8664,64.42,63,75,11.5
104,Berlevag,NO,2021-09-09 18:28:18,70.8578,29.0864,44.6,81,75,19.57
105,Laguna,US,2021-09-09 18:28:19,38.421,-121.4238,103.64,35,1,5.99
106,Lyndon,US,2021-09-09 18:28:19,38.2567,-85.6016,78.66,49,75,8.99
107,Namibe,AO,2021-09-09 18:28:19,-15.1961,12.1522,66.51,91,25,7.05
108,Kamyshevatskaya,RU,2021-09-09 18:28:20,46.4132,37.9563,67.06,46,0,11.03
109,Callaway,US,2021-09-09 18:28:20,30.153,-85.5699,88.92,78,100,4.0
110,Georgetown,MY,2021-09-09 18:27:46,5.4112,100.3354,78.89,91,20,3.44
111,Iguape,BR,2021-09-09 18:28:20,-24.7081,-47.5553,69.85,95,100,1.16
112,Starkville,US,2021-09-09 18:28:21,33.4504,-88.8184,84.79,44,0,12.57
113,Toul,FR,2021-09-09 18:28:21,48.6667,5.9167,71.19,85,0,3.44
114,Raudeberg,NO,2021-09-09 18:28:22,61.9875,5.1352,60.4,97,100,8.77
115,Kazerun,IR,2021-09-09 18:28:22,29.6195,51.6541,84.96,16,3,1.12
116,Kiruna,SE,2021-09-09 18:28:22,67.8557,20.2251,41.92,81,20,6.91
117,Agdas,AZ,2021-09-09 18:28:23,40.65,47.4761,69.67,47,99,4.43
118,Inhambane,MZ,2021-09-09 18:28:23,-23.865,35.3833,69.78,83,40,9.22
119,Caravelas,BR,2021-09-09 18:28:23,-17.7125,-39.2481,79.63,69,45,11.45
120,Lagos,NG,2021-09-09 18:26:40,6.5833,3.75,80.92,85,49,5.68
121,Yenagoa,NG,2021-09-09 18:28:23,4.9247,6.2642,78.55,87,90,5.79
122,Maraba,BR,2021-09-09 18:28:24,-5.3686,-49.1178,95.18,52,20,9.22
123,Sorland,NO,2021-09-09 18:28:24,67.667,12.6934,48.06,67,100,12.03
124,Morant Bay,JM,2021-09-09 18:28:24,17.8815,-76.4093,91.02,70,7,11.95
125,Paramonga,PE,2021-09-09 18:28:25,-10.6667,-77.8333,65.93,78,79,11.99
126,Chuy,UY,2021-09-09 18:28:25,-33.6971,-53.4616,52.41,95,100,12.08
127,Fryanovo,RU,2021-09-09 18:28:25,56.1333,38.45,61.05,90,60,7.34
128,Anakapalle,IN,2021-09-09 18:28:26,17.6833,83.0167,82.35,86,100,3.44
129,Surgut,RU,2021-09-09 18:28:26,61.25,73.4167,35.78,93,0,2.24
130,Tamsweg,AT,2021-09-09 18:28:26,47.1281,13.811,59.36,70,74,3.67
131,Richards Bay,ZA,2021-09-09 18:28:26,-28.783,32.0377,64.74,79,9,2.71
132,Havoysund,NO,2021-09-09 18:28:27,70.9963,24.6622,43.68,75,98,14.97
133,Kalmunai,LK,2021-09-09 18:28:27,7.4167,81.8167,81.41,77,89,5.75
134,Cidreira,BR,2021-09-09 18:28:27,-30.1811,-50.2056,69.67,54,0,12.24
135,Grand Gaube,MU,2021-09-09 18:28:28,-20.0064,57.6608,71.38,76,96,1.99
136,Shubarkuduk,KZ,2021-09-09 18:28:28,49.1447,56.4872,55.24,32,6,10.51
137,Saint-Francois,FR,2021-09-09 18:28:28,46.4154,3.9054,65.64,88,0,2.3
138,Wamba,NG,2021-09-09 18:28:28,8.9333,8.6,76.44,85,88,1.48
139,Lincoln,US,2021-09-09 18:28:04,40.8,-96.667,82.02,43,1,5.01
140,Kahta,TR,2021-09-09 18:28:29,37.7855,38.6237,83.57,23,0,2.71
141,Bengkulu,ID,2021-09-09 18:28:29,-3.8004,102.2655,74.82,89,25,7.61
142,Gazli,UZ,2021-09-09 18:28:29,40.1333,63.45,72.86,14,0,17.74
143,Rio Claro,BR,2021-09-09 18:25:18,-22.4114,-47.5614,93.02,18,57,12.8
144,Sao Filipe,CV,2021-09-09 18:28:30,14.8961,-24.4956,80.46,72,71,4.25
145,Adrar,MR,2021-09-09 18:28:30,20.5022,-10.0711,106.56,8,11,13.6
146,Clyde River,CA,2021-09-09 18:28:30,70.4692,-68.5914,34.03,60,90,4.61
147,San Andres,CO,2021-09-09 18:28:30,12.5847,-81.7006,87.82,74,20,8.05
148,Souillac,MU,2021-09-09 18:28:31,-20.5167,57.5167,71.37,88,40,3.44
149,Chimoio,MZ,2021-09-09 18:28:31,-19.1164,33.4833,66.06,88,20,4.61
150,Maldonado,UY,2021-09-09 18:26:26,-34.6667,-54.9167,56.59,91,100,4.81
151,Vilhena,BR,2021-09-09 18:28:32,-12.7406,-60.1458,70.02,88,90,10.36
152,Zaranj,AF,2021-09-09 18:28:32,30.9667,61.8833,87.76,17,0,28.59
153,Chapais,CA,2021-09-09 18:28:32,49.7834,-74.8492,60.58,94,100,9.4
154,Verkhnetulomskiy,RU,2021-09-09 18:28:33,68.6073,31.7962,41.13,86,100,8.99
155,Husyatyn,UA,2021-09-09 18:28:33,49.0726,26.2141,55.78,44,11,6.22
156,Bay Roberts,CA,2021-09-09 18:28:33,47.5999,-53.2648,72.52,78,2,1.99
157,Olafsvik,IS,2021-09-09 18:28:33,64.8945,-23.7142,51.35,84,90,13.22
158,Hofn,IS,2021-09-09 18:28:34,64.2539,-15.2082,50.7,62,26,2.89
159,Shrewsbury,GB,2021-09-09 18:27:57,52.7101,-2.7521,68.68,88,75,4.61
160,Ulagan,RU,2021-09-09 18:28:34,50.6321,87.9563,40.3,86,100,1.81
161,Saint-Louis,SN,2021-09-09 18:28:34,16.3333,-15.0,103.64,28,5,16.28
162,Kerman,IR,2021-09-09 18:28:34,30.2832,57.0788,75.06,22,0,11.5
163,Acarau,BR,2021-09-09 18:28:35,-2.8856,-40.12,86.34,55,50,19.66
164,Talara,PE,2021-09-09 18:28:35,-4.5772,-81.2719,75.96,57,0,14.97
165,Vila Velha,BR,2021-09-09 18:24:34,-20.3297,-40.2925,84.15,65,0,14.97
166,Ziarat,PK,2021-09-09 18:28:35,30.3823,67.7282,64.62,71,10,4.09
167,Hithadhoo,MV,2021-09-09 18:28:08,-0.6,73.0833,83.66,69,12,9.4
168,Bad Freienwalde,DE,2021-09-09 18:28:36,52.7873,14.0304,75.33,58,1,1.01
169,Nijar,ES,2021-09-09 18:28:36,36.9665,-2.206,79.88,73,0,14.97
170,Araguaina,BR,2021-09-09 18:28:36,-7.1911,-48.2072,101.61,19,12,4.61
171,La Seyne-Sur-Mer,FR,2021-09-09 18:28:36,43.0982,5.8847,79.68,59,61,4.0
172,Vestmannaeyjar,IS,2021-09-09 18:28:37,63.4427,-20.2734,51.82,76,81,6.08
173,Gat,IL,2021-09-09 18:28:37,31.61,34.7642,85.41,100,0,12.3
174,Praia Da Vitoria,PT,2021-09-09 18:28:37,38.7333,-27.0667,79.05,89,20,11.36
175,Iqaluit,CA,2021-09-09 18:28:38,63.7506,-68.5145,38.93,87,75,12.66
176,Vagur,FO,2021-09-09 18:28:38,61.4732,-6.8119,50.85,73,96,13.35
