City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
229,Hobyo,SO,77.74,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
231,Sakakah,SA,87.28,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
232,Axim,GH,77.32,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
234,Cabedelo,BR,79.54,broken clouds,-6.9811,-34.8339,Hotel Pigalle
235,Gat,IL,85.41,clear sky,31.61,34.7642,OlusHome
238,Dingle,PH,75.76,light rain,10.9995,122.6711,SEGAYA PROPERTY
242,Bathsheba,BB,88.41,few clouds,13.2167,-59.5167,Atlantis Hotel
250,Marzuq,YE,84.6,overcast clouds,14.4,46.4667,
251,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
252,Isla Mujeres,MX,82.45,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
259,Champua,IN,76.68,overcast clouds,22.0833,85.6667,Rahul Nayak jaintgarh
260,Dalbandin,PK,84.94,broken clouds,28.8947,64.4101,Gidaan Guest House
266,Birao,CF,75.13,light rain,10.2849,22.7882,
269,Gourcy,BF,82.81,scattered clouds,13.2167,-2.35,Auberge Gourcy
270,Xuddur,SO,77.2,overcast clouds,4.1213,43.8894,Banjanay Hotel
276,Una,IN,78.96,overcast clouds,20.8167,71.0333,Hotel Harbhole
278,Korla,CN,78.58,clear sky,41.7597,86.1469,Gulisitan Hotel
279,Rosetta,EG,76.84,clear sky,31.4044,30.4164,Green Valley
280,Rampur,IN,79.21,overcast clouds,28.8167,79.0333,OYO 38687 Hotel Shivansh
282,Bowmore,US,75.88,mist,34.9421,-79.3031,
283,Gadsden,US,85.01,clear sky,34.0143,-86.0066,Hampton Inn Gadsden
286,Diapaga,BF,78.69,scattered clouds,12.0708,1.7889,
287,Praia,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
292,Padang,ID,75.25,few clouds,-0.9492,100.3543,Mercure Padang
294,Dakar,SN,86.88,clear sky,14.6937,-17.4441,Redface Studios Meublés
296,Santo Antonio Do Ica,BR,86.9,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
301,Abu Kamal,SY,87.84,clear sky,34.4506,40.9171,محطة التلفاز
310,Porto Novo,BJ,77.9,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
315,Takoradi,GH,77.2,clear sky,4.8845,-1.7554,Raybow International Hotel
321,Casablanca,MA,77.22,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
322,Tiznit,MA,81.45,clear sky,29.5833,-9.5,
324,Porbandar,IN,80.35,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
326,Cururupu,BR,84.96,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
328,Kudahuvadhoo,MV,82.24,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
329,Malanje,AO,80.44,overcast clouds,-9.5402,16.341,Malanje Hotel
333,Surt,LY,79.59,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
334,Pozo Colorado,PY,78.22,scattered clouds,-23.4923,-58.7972,Hospedaje la Amistad
335,Nizwa,OM,86.63,broken clouds,22.9333,57.5333,Orient Apartments
341,Rumonge,BI,76.86,few clouds,-3.9736,29.4386,Kwetu Guest House
344,Tingo Maria,PE,86.29,broken clouds,-9.2895,-76.0088,Hospedaje Paraíso
346,Clearwater,US,86.13,clear sky,27.9659,-82.8001,Shephard's Beach Resort
349,Gamba,GA,76.42,broken clouds,-2.65,10.0,
352,Cozumel,MX,87.01,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
353,Urucara,BR,87.06,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
356,Havelock,US,75.15,moderate rain,34.8791,-76.9013,Sherwood Motel
357,Ilheus,BR,78.94,clear sky,-14.7889,-39.0494,Barravento Hotel
362,Kutum,SD,84.25,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
369,Djenne,ML,88.68,overcast clouds,13.9061,-4.5533,Hôtel Chez Baba
370,Mulatupo,PA,84.24,scattered clouds,8.9492,-77.7652,Hostal Nuevo Sasardí
372,Tutoia,BR,85.98,clear sky,-2.7619,-42.2744,Pousada Guará's
378,Cuite,BR,84.88,clear sky,-6.4836,-36.1536,Hotel Planalto
380,Awbari,LY,87.84,clear sky,26.5921,12.7805,فندق أوباري
381,Bafoulabe,ML,86.99,overcast clouds,13.8065,-10.8321,
382,Ejido,VE,78.8,overcast clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
384,Santa Isabel Do Rio Negro,BR,85.75,overcast clouds,-0.4139,-65.0192,Hotel GSA
386,Road Town,VG,89.01,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
392,Mao,ES,77.56,scattered clouds,39.8885,4.2658,ARTIEM Capri
393,Omboue,GA,76.55,few clouds,-1.5746,9.2618,Hotel Olako
397,Cobija,BO,77.85,overcast clouds,-11.0267,-68.7692,Hotel Obelisco
398,Yanam,IN,78.84,overcast clouds,16.7333,82.2167,The Regency Hotel
400,Saint Anthony,US,75.92,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
403,Trairi,BR,82.51,few clouds,-3.2778,-39.2689,janelas do mar
405,Graham,US,77.43,clear sky,47.0529,-122.2943,Moxie Meadows Hostel
411,Lethem,GY,88.81,overcast clouds,3.3803,-59.7968,Savannah Inn
414,Eyl,SO,78.17,scattered clouds,7.9803,49.8164,Amiin Hotel
416,Awjilah,LY,80.92,clear sky,29.1081,21.2869,
420,Jardim,BR,82.58,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
424,Aksu,CN,76.71,clear sky,41.1231,80.2644,Pudong Holiday Hotel
428,Acarau,BR,83.91,broken clouds,-2.8856,-40.12,castelo pizzaria
430,Benghazi,LY,78.19,clear sky,32.1167,20.0667,Tibesti Hotel
431,Harper,LR,77.54,light rain,4.375,-7.7169,Screensaver
433,Prado,BR,78.03,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
434,Boueni,YT,76.98,clear sky,-12.9025,45.0761,The feet in water
435,Uvira,CD,77.54,scattered clouds,-3.4067,29.1458,Hotel Suzana
437,Narasannapeta,IN,79.14,moderate rain,18.4167,84.05,G.lingaraju home
438,Coxim,BR,89.62,broken clouds,-18.5067,-54.76,Hotel Avenida
444,Anse-Bertrand,GP,87.62,overcast clouds,16.4721,-61.5078,Le Domharry
445,Kismayo,SO,77.54,overcast clouds,-0.3582,42.5454,Agan-Hotel
446,Nata,PA,85.87,scattered clouds,8.3333,-80.5167,Cabañas Estancia Bayamon
449,Palafrugell,ES,77.56,overcast clouds,41.9174,3.1631,Hotel La Torre
451,Sassandra,CI,76.3,scattered clouds,4.95,-6.0833,la terrasse
453,Bandiagara,ML,88.45,overcast clouds,14.3501,-3.6104,Hotel de la Falaise
459,Puerto Del Rosario,ES,78.48,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
461,Bosobolo,CD,75.0,light rain,4.1833,19.9,
462,Balotra,IN,82.98,scattered clouds,25.8333,72.2333,Hotel City Square
463,Mogadishu,SO,77.41,overcast clouds,2.0371,45.3438,Hotel Juba
464,Inirida,CO,82.8,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
466,Itarema,BR,83.07,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
467,Ajdabiya,LY,75.83,clear sky,30.7554,20.2263,Almadina Hotel
471,Pachino,IT,75.6,clear sky,36.7186,15.0907,Pietra Bianca B&B
473,Mahon,ES,77.56,scattered clouds,39.8885,4.2658,ARTIEM Capri
474,Ipixuna,BR,78.75,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
475,Balad,IQ,89.53,clear sky,34.0164,44.1453,رضاوي زنوبة
476,Bonthe,SL,78.51,moderate rain,7.5264,-12.505,Bonthe Holiday Village
487,Sinnamary,GF,84.0,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
488,Buchanan,LR,77.7,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
490,Manta,EC,76.68,broken clouds,-0.95,-80.7333,Balandra Hotel
494,Ilhabela,BR,75.4,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
496,Maine-Soroa,NE,82.26,overcast clouds,13.2114,12.0241,Complexe
498,Santa Rosa,PH,81.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
500,Matay,EG,86.18,clear sky,28.419,30.7792,Nag Aespen
502,Malumfashi,NG,78.12,overcast clouds,11.7853,7.6218,INFINITY CYBER CAFE MALUMFASHI
508,Guarapari,BR,78.73,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
510,Camacha,PT,75.52,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
511,Mahajanga,MG,75.22,clear sky,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
523,Ocala,US,81.95,light rain,29.1872,-82.1401,Golden Palms Inn & Suites
524,Berwick,US,75.34,overcast clouds,41.0545,-76.2333,The White Birch Inn B & B
528,Tangier,MA,76.26,few clouds,35.7806,-5.8137,Hotel Rembrandt
529,Iracoubo,GF,83.01,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
534,Fundao,BR,89.02,scattered clouds,-19.9341,-40.4047,City Hotel
536,Montreal,CA,75.49,overcast clouds,45.5088,-73.5878,Delta Hotels by Marriott Montreal
538,Camocim,BR,85.91,clear sky,-2.9022,-40.8411,Hotel Ilha do Amor
539,Tukrah,LY,76.6,clear sky,32.5341,20.5791,Lagrota restaurant
547,Najran,SA,81.54,few clouds,17.4924,44.1277,محمد هادي ال فطيح
550,Shakawe,BW,76.05,broken clouds,-18.3667,21.85,Ditlhapi Guest House
554,Tanout,NE,89.22,broken clouds,14.9709,8.8879,
555,Ibra,OM,83.88,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
556,Bam,IR,82.9,overcast clouds,29.106,58.357,Bam Tourist Hotel
559,Hargeysa,SO,77.99,overcast clouds,9.56,44.065,City Center Hotel
562,Les Cayes,HT,87.19,scattered clouds,18.2,-73.75,Villa Orphee
563,Khargone,IN,76.35,overcast clouds,21.8167,75.6,SPOT ON 63187 Vallabha Hotel
566,Filadelfia,US,76.06,overcast clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
569,Polonnaruwa,LK,77.61,overcast clouds,7.9333,81.0,Thisara Guest House
573,Kano,NG,82.42,overcast clouds,12.0001,8.5167,Havana Guest Inn
575,Tabas,IR,80.98,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
576,Alexandria,EG,78.1,clear sky,31.2156,29.9553,Royal Crown Hotel
578,San Juan,AR,75.72,overcast clouds,-31.5375,-68.5364,Hotel Provincial
581,Ugoofaaru,MV,82.47,broken clouds,5.6667,73.0,Ungoofaaru Inn
584,Bataipora,BR,81.75,overcast clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
587,Jalu,LY,81.48,clear sky,29.0331,21.5482,صاحبة الفخامة
594,Tamandare,BR,78.94,few clouds,-8.7597,-35.1047,Pousada 100 Passos
595,Soyo,AO,75.31,scattered clouds,-6.1349,12.3689,Hotel Mpampa
600,Porto-Vecchio,FR,76.46,scattered clouds,41.591,9.2795,Hôtel Le Goéland - Casa Santini
605,Vieux-Habitants,GP,87.37,overcast clouds,16.0589,-61.7659,Gîtes Dardanelle
606,Oranjestad,AW,87.75,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
608,Front Royal,US,79.11,scattered clouds,38.9182,-78.1944,Hampton Inn Front Royal
609,Kattivakkam,IN,86.09,overcast clouds,13.2167,80.3167,Euronova Freezer
610,Ribeira Brava,PT,79.0,overcast clouds,32.65,-17.0667,Hotel do Campo
612,Thinadhoo,MV,82.99,few clouds,0.5333,72.9333,
615,Sironj,IN,75.06,heavy intensity rain,24.1,77.7,shri shyam palace sironj
617,Muscat,OM,89.62,overcast clouds,23.6139,58.5922,Mutrah Hotel
623,Sokoni,TZ,76.44,clear sky,-6.4333,39.55,Ujamaa Beach Resort
633,Banda Aceh,ID,79.25,overcast clouds,5.5577,95.3222,Sulthan Hotel International
634,Marsh Harbour,BS,85.98,few clouds,26.5412,-77.0636,Abaco Beach Resort
638,Mumford,GH,76.77,clear sky,5.2618,-0.759,Spanish Villa
641,Balkanabat,TM,77.29,clear sky,39.5108,54.3671,Nebitchi Hotel
651,Roanoke,US,82.98,scattered clouds,37.271,-79.9414,"The Hotel Roanoke & Conference Center, Curio Collection by Hilton"
652,Calabozo,VE,89.64,overcast clouds,8.9242,-67.4293,Hotel Giardini
656,Forestville,US,76.86,few clouds,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
659,Oussouye,SN,82.11,overcast clouds,12.485,-16.5469,Auberge du Routard
662,Koungou,YT,76.71,clear sky,-12.7336,45.2042,Villa Netibor
664,Chhabra,IN,76.03,overcast clouds,24.6667,76.8333,Nagar bhawan
665,Kot Diji,PK,89.62,overcast clouds,27.3427,68.7083,"Heritage Park, Restaurant & Guesthouse Kotdiji"
668,Santa Catalina,PH,78.22,moderate rain,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
672,Cartagena Del Chaira,CO,86.79,broken clouds,1.3349,-74.8429,HOTEL LA ROCA
673,Porto Santo,PT,78.3,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
677,The Valley,AI,88.11,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
678,Kaputa,ZM,80.55,overcast clouds,-8.4689,29.6619,Chelelwa Charlets
683,Capaci,IT,78.4,scattered clouds,38.1711,13.2393,Hotel Sirenetta
