City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Leshukonskoye,RU,64.8989,45.7622,39.56,92,62,7.29,broken clouds
80,East London,ZA,-33.0153,27.9116,65.34,70,100,22.06,overcast clouds
81,Namibe,AO,-15.1961,12.1522,65.64,93,25,7.36,scattered clouds
82,Wukari,NG,7.85,9.7833,77.54,87,92,5.46,overcast clouds
83,Vrede,ZA,-27.4257,29.1659,54.43,52,2,10.31,clear sky
84,Kidal,ML,18.4411,1.4078,97.92,18,17,8.97,few clouds
85,Rio Grande,BR,-32.035,-52.0986,58.95,79,100,21.16,overcast clouds
86,Sal Rei,CV,16.1833,-22.9167,84.76,79,40,9.22,scattered clouds
87,Macusani,PE,-14.0833,-70.4333,42.53,77,100,11.01,overcast clouds
88,Salalah,OM,17.0151,54.0924,80.69,94,90,4.61,overcast clouds
89,Bonfim,BR,3.0833,-59.95,87.03,60,100,3.0,overcast clouds
90,Kriel,ZA,-26.2739,29.2253,54.81,61,6,14.16,clear sky
91,Mar Del Plata,AR,-38.0023,-57.5575,51.58,92,100,31.32,overcast clouds
92,Olinda,BR,-8.0089,-34.8553,78.53,65,40,13.8,scattered clouds
93,Gornopravdinsk,RU,60.05,69.9,39.94,88,24,5.91,few clouds
94,Maturin,VE,9.75,-63.1767,79.75,77,100,6.73,overcast clouds
95,Mandera,KE,3.9366,41.867,84.79,48,99,22.01,overcast clouds
96,Bereznik,RU,62.8551,42.7072,42.66,92,97,3.69,overcast clouds
97,Gbarnga,LR,6.9956,-9.4722,73.69,98,100,4.83,moderate rain
98,Nuuk,GL,64.1835,-51.7216,47.01,53,20,8.05,few clouds
99,Izhma,RU,65.0083,53.9113,42.57,93,100,10.63,overcast clouds
100,Cockburn Town,TC,21.4612,-71.1419,85.96,66,20,4.61,few clouds
101,Narsaq,GL,60.9167,-46.05,50.22,68,100,4.12,overcast clouds
102,Sao Filipe,CV,14.8961,-24.4956,80.06,74,11,4.92,few clouds
103,Canavieiras,BR,-15.675,-38.9472,78.51,68,2,8.99,clear sky
104,Aripuana,BR,-9.1667,-60.6333,82.47,68,94,3.83,overcast clouds
105,Colchester,GB,51.8892,0.9042,69.89,80,7,8.72,clear sky
106,Upernavik,GL,72.7868,-56.1549,33.96,76,93,6.06,overcast clouds
107,Ostrovnoy,RU,68.0531,39.5131,39.74,89,94,15.84,overcast clouds
108,Gardez,AF,33.5974,69.2259,63.66,75,0,4.68,clear sky
109,Katav-Ivanovsk,RU,54.7531,58.1956,47.59,97,100,9.98,light rain
110,Ponta Do Sol,PT,32.6667,-17.1,79.0,79,100,2.55,overcast clouds
111,Carnarvon,AU,-24.8667,113.6333,64.47,94,19,8.05,few clouds
112,Paamiut,GL,61.994,-49.6678,43.57,93,100,3.87,overcast clouds
113,Diego De Almagro,CL,-26.3667,-70.05,75.36,16,0,9.01,clear sky
114,Richards Bay,ZA,-28.783,32.0377,64.08,82,0,3.8,clear sky
115,Port Hawkesbury,CA,45.6169,-61.3485,73.0,92,90,4.0,mist
116,Dikson,RU,73.5069,80.5464,41.7,83,8,6.8,clear sky
117,Krasnyy Oktyabr,RU,56.1167,38.8833,60.3,95,15,6.82,few clouds
118,Narendranagar,IN,30.1667,78.3,64.67,94,77,3.96,light rain
119,Maceio,BR,-9.6658,-35.7353,83.64,69,20,12.66,few clouds
120,Sainte-Maxime,FR,43.3,6.6333,75.96,84,94,9.42,overcast clouds
121,Port Blair,IN,11.6667,92.75,79.47,84,100,19.46,overcast clouds
122,Loandjili,CG,-4.7561,11.8578,76.39,82,5,8.14,clear sky
123,Havoysund,NO,70.9963,24.6622,44.83,76,100,13.82,overcast clouds
124,Saint-Georges,GD,12.0564,-61.7485,89.28,70,40,18.41,scattered clouds
125,Wisconsin Rapids,US,44.3836,-89.8174,74.28,57,1,3.44,clear sky
126,Beitbridge,ZW,-22.2167,30.0,68.32,68,26,12.53,scattered clouds
127,Kruisfontein,ZA,-34.0033,24.7314,63.88,76,100,11.43,overcast clouds
128,Huarmey,PE,-10.0681,-78.1522,68.23,74,24,11.92,few clouds
129,Salinas,US,36.6777,-121.6555,92.57,60,1,9.22,clear sky
130,Yertsevo,RU,60.7966,40.086,45.45,82,100,3.65,overcast clouds
131,Keetmanshoop,NA,-26.5833,18.1333,75.24,8,58,10.89,broken clouds
132,Ovruch,UA,51.3246,28.8035,58.46,61,5,5.14,clear sky
133,Mitsamiouli,KM,-11.3847,43.2844,76.82,74,6,4.9,clear sky
134,Severnoye,RU,56.3491,78.3619,43.79,91,100,7.92,overcast clouds
135,Mapiripan,CO,2.8892,-72.1256,87.93,57,56,5.73,broken clouds
136,Cap Malheureux,MU,-19.9842,57.6142,69.48,77,33,1.99,scattered clouds
137,Durban,ZA,-29.8579,31.0292,67.01,84,43,3.0,scattered clouds
138,Sorland,NO,67.667,12.6934,46.47,64,100,11.92,overcast clouds
139,Vardo,NO,70.3705,31.1107,40.98,87,75,12.66,broken clouds
140,Laguna,US,38.421,-121.4238,105.64,33,1,5.01,clear sky
141,Plettenberg Bay,ZA,-34.0527,23.3716,62.55,56,20,7.72,few clouds
142,Shuyskoye,RU,59.3736,41.0305,49.78,75,100,3.0,light rain
143,Saint Simons,US,31.1352,-81.3901,89.01,66,75,12.66,broken clouds
